pk_service_type;fk_package_type;serviceTypeCode;submitterNumber;submitterTypeId;minValue;maxValue;currentValue;visible;isCod;hasDeliveryPoints;labelText;name;reportname;palletteMinValue;palletteMaxValue;palletteCurrentValue;pallettePrefix;isPalletteType;fk_image_logo;paymentType;printLabel
0;0;-;-;-;0;0;0;0;NULL;0;NULL;-;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;1
1;1;DR;70812;L;1;999999999;2743;1;NULL;0;NULL;Do ruky;Do ruky;NULL;NULL;NULL;NULL;0;149;NULL;1
3;1;BB;70812;L;1;9999;2;0;NULL;0;NULL;Balík s udanou cenou do 10000,-Kč bez dobírky nebo s dobírkou;Balíků do 10tis.;NULL;NULL;NULL;NULL;0;NULL;NULL;1
4;1;VV;70812;L;1;9999;2;0;NULL;0;NULL;Balík s udanou cenou nad 10000,-Kč bez dobírky nebo s dobírkou;Balíků nad 10tis.;NULL;NULL;NULL;NULL;0;NULL;NULL;1
5;1;VL;70812;L;1;9999;2;0;NULL;0;NULL;Cenné psaní;Cenných psaní;NULL;NULL;NULL;NULL;0;NULL;NULL;1
8;1;RR;70812;L;1;9999;2;0;NULL;0;NULL;Doporučená zásilka;Doporučených zásilek;NULL;NULL;NULL;NULL;0;NULL;NULL;1
9;1;BA;70812;L;1;9999;2;0;NULL;0;NULL;Doporučený balíček;Doporučených balíčků;NULL;NULL;NULL;NULL;0;NULL;NULL;1
10;1;EE;70812;CZ;1;9999;2;0;NULL;0;NULL;EMS;EMS;NULL;NULL;NULL;NULL;0;NULL;NULL;1
11;1;CE;70812;CZ;1;9999;2;0;NULL;0;NULL;Obchodní balík do ciziny;Obchodních balíků do ciziny;NULL;NULL;NULL;NULL;0;NULL;NULL;1
12;1;BN;70812;L;1;9999;2;1;NULL;0;NULL;Nadrozměrná zásilka;Nadrozměrných zásilek;NULL;NULL;NULL;NULL;0;NULL;NULL;1
13;1;DE;70812;L;1;9999;2;0;NULL;0;NULL;Do ruky se službou Garantovaný čas dodání (pracovní dny a sobota);Do ruky se službou;NULL;NULL;NULL;NULL;0;NULL;NULL;1
14;1;NP;70812;L;1;9999;2;1;NULL;1;NULL;Na poštu;Na poštu;NULL;NULL;NULL;NULL;0;93;NULL;1
15;1;BO;70812;L;1;9999;2;0;NULL;0;NULL;Obchodní balík;Obchodních balíků;NULL;NULL;NULL;NULL;0;NULL;NULL;1
25;2;SB;7;4;1;999999999;21467793;1;0;0;NULL;PPL Parcel CZ Private;PPL Parcel CZ Private;NULL;NULL;NULL;NULL;0;NULL;NULL;1
26;2;FB;7;8;1;999999999;67967049;1;0;0;NULL;PPL Parcel CZ Business;PPL Parcel CZ Business;NULL;NULL;NULL;NULL;0;NULL;NULL;1
27;2;EB;7;2;1;999999999;14902199;1;0;0;NULL;PPL Parcel Connect;PPL Exportní balík;NULL;NULL;NULL;NULL;0;NULL;NULL;1
28;2;SBD;57;4;1;999999999;81091374;1;1;0;NULL;PPL Parcel CZ Private - Dob.;PPL Parcel CZ Private - Dob.;NULL;NULL;NULL;NULL;0;NULL;NULL;1
